oras,denumire,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Sinagoga Bet Hamirdaș,Religion,4.7,2318,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Răzvan Chuch,Religion,4.3,2954,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Calea Moșilor 84 house,Historic architecture,4.8,1005,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Răsvan”,Religion,3.9,2647,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Biserica ""Sf. Gheorghe - Nou""",Religion,3.6,2147,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Templul Coral,Religion,4.5,2200,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Statue of Constantin Brâncoveanu in Bucharest,Historic,4.5,821,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Kilometrul 0,Historic,4.4,326,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Sf. Gheorghe Vechi Church,Religion,4.3,389,Mediu,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Cinematograful București,Cinemas,3.5,2650,Mediu,Rece,Circuit,5,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Bucharest Bărăția Church,Religion,4.6,2409,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Dracula,Cultural,4.2,1560,Mediu,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Bărăția Church,Religion,4.3,1660,Mediu,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Baratia Church,Religion,4.5,2319,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,La Vulturul De Mare Cu Peștele În Ghiare,Other,4.9,1033,Mic,Cald,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Dimitar Hadjvasilev (Bulgaria),Historic,3.5,2478,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Walk of Fame Bucharest,Museums,4.0,768,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Capitoline Wolf,Cultural,3.8,251,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Palatul Voaleta,Other,3.5,1999,Mediu,Cald,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cretzulescu Commercial School,Architecture,4.3,2897,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
