nume locatie,oras,rating general,numar de recenzii,categorie,popularitate,sezon recomandat,longitudine,latitudine,pret estimativ,tip calatorie,cuvinte cheie
Sinagoga Bet Hamirdaș,București,4.4,2500,Religion,3,Oricând,26.106332778930664,44.43201446533203,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Răzvan Chuch,București,4.7,905,Religion,2,Oricând,26.106304168701172,44.43284606933594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Calea Moșilor 84 house,București,4.5,1496,Historic architecture,2,Oricând,26.106599807739258,44.432891845703125,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Ortodoxă „Răsvan”,București,3.6,2104,Religion,3,Oricând,26.10639762878418,44.433040618896484,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Biserica ""Sf. Gheorghe - Nou""",București,4.8,1946,Religion,3,Oricând,26.104576110839844,44.432498931884766,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Templul Coral,București,3.7,728,Religion,2,Oricând,26.106624603271484,44.431007385253906,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Statue of Constantin Brâncoveanu in Bucharest,București,4.1,1340,Historic,2,Oricând,26.10422134399414,44.43235778808594,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Kilometrul 0,București,4.8,484,Historic,2,Oricând,26.104055404663086,44.43268966674805,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Sf. Gheorghe Vechi Church,București,4.8,2554,Religion,1,Oricând,26.105119705200195,44.430816650390625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinematograful București,București,4.1,1670,Cinemas,1,Oricând,26.10388946533203,44.432498931884766,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bucharest Bărăția Church,București,4.7,370,Religion,2,Oricând,26.104116439819336,44.43132019042969,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Dracula,București,4.0,1007,Cultural,2,Oricând,26.108795166015625,44.432395935058594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bucharest Bărăția Church,București,4.9,1913,Religion,3,Oricând,26.104190826416016,44.43108367919922,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Baratia Church,București,4.2,1324,Religion,3,Oricând,26.104040145874023,44.431053161621094,Mic,City Break,"['turism', 'călătorie', 'explorare']"
La Vulturul De Mare Cu Peștele În Ghiare,București,4.4,647,Other,1,Oricând,26.1046199798584,44.43062210083008,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Dimitar Hadjvasilev (Bulgaria),București,4.7,903,Historic,3,Oricând,26.109209060668945,44.4317741394043,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Walk of Fame Bucharest,București,4.3,320,Museums,3,Oricând,26.104000091552734,44.43080139160156,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Capitoline Wolf,București,4.0,2686,Cultural,2,Oricând,26.10329818725586,44.431705474853516,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Palatul Voaleta,București,4.5,925,Other,3,Oricând,26.10295295715332,44.43194580078125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cretzulescu Commercial School,București,4.1,1495,Architecture,2,Oricând,26.10931968688965,44.43324661254883,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Holy Friday Monument,București,3.7,2378,Historic,2,Oricând,26.10725975036621,44.42985534667969,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Hanul Elias - Patria,București,4.0,1541,Other,3,Oricând,26.104637145996094,44.42982482910156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Bulgară Sf. Ilie Proorocul,București,4.2,2578,Religion,2,Oricând,26.10265350341797,44.43307113647461,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sfânta Vineri memorial Park Fountain,București,4.2,1803,Fountains,2,Oricând,26.10741424560547,44.42963790893555,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Colțea Hospital,București,4.7,1576,Historic architecture,3,Oricând,26.103984832763672,44.43450927734375,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Ortodoxă „Scaune”,București,4.0,1208,Religion,2,Oricând,26.105741500854492,44.4351921081543,Mic,City Break,"['turism', 'călătorie', 'explorare']"
