oras,denumire,latitudine,longitudine,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Sinagoga Bet Hamirdaș,44.43201446533203,26.106332778930664,Religion,5.0,1802,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Răzvan Chuch,44.43284606933594,26.106304168701172,Religion,4.1,1538,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Calea Moșilor 84 house,44.432891845703125,26.106599807739258,Historic architecture,3.6,1185,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Răsvan”,44.433040618896484,26.10639762878418,Religion,4.5,593,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Biserica ""Sf. Gheorghe - Nou""",44.432498931884766,26.104576110839844,Religion,3.8,2602,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Templul Coral,44.431007385253906,26.106624603271484,Religion,4.5,1642,Mediu,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Statue of Constantin Brâncoveanu in Bucharest,44.43235778808594,26.10422134399414,Historic,3.6,743,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Kilometrul 0,44.43268966674805,26.104055404663086,Historic,4.9,1825,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Sf. Gheorghe Vechi Church,44.430816650390625,26.105119705200195,Religion,4.9,1175,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Cinematograful București,44.432498931884766,26.10388946533203,Cinemas,4.6,2991,Mediu,Oricând,Relaxare,2,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Bucharest Bărăția Church,44.43132019042969,26.104116439819336,Religion,4.4,2894,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Dracula,44.432395935058594,26.108795166015625,Cultural,4.2,364,Mic,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Bărăția Church,44.43108367919922,26.104190826416016,Religion,4.4,699,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Baratia Church,44.431053161621094,26.104040145874023,Religion,4.1,2319,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,La Vulturul De Mare Cu Peștele În Ghiare,44.43062210083008,26.1046199798584,Other,3.8,329,Mic,Oricând,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Dimitar Hadjvasilev (Bulgaria),44.4317741394043,26.109209060668945,Historic,3.8,1349,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Walk of Fame Bucharest,44.43080139160156,26.104000091552734,Museums,4.3,894,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Capitoline Wolf,44.431705474853516,26.10329818725586,Cultural,4.5,2157,Mediu,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
