oras,denumire,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Sinagoga Bet Hamirdaș,Religion,3.9,717,Mic,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Răzvan Chuch,Religion,4.6,149,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Calea Moșilor 84 house,Historic architecture,4.8,1803,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Răsvan”,Religion,4.9,2185,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Biserica ""Sf. Gheorghe - Nou""",Religion,4.5,1269,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Templul Coral,Religion,4.1,1714,Mic,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Statue of Constantin Brâncoveanu in Bucharest,Historic,4.6,2953,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Kilometrul 0,Historic,4.1,2418,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Sf. Gheorghe Vechi Church,Religion,4.6,2867,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Cinematograful București,Cinemas,3.8,270,Mediu,Rece,Relaxare,2,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Bucharest Bărăția Church,Religion,4.9,1457,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Dracula,Cultural,4.2,1018,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Bărăția Church,Religion,4.0,2805,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Baratia Church,Religion,4.8,2277,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,La Vulturul De Mare Cu Peștele În Ghiare,Other,4.9,1666,Mediu,Oricând,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Dimitar Hadjvasilev (Bulgaria),Historic,3.7,1839,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
